,id,lot_frontage,lot_area,overall_qual,mas_vnr_area,bsmt_qual,total_bsmt_sf,gr_liv_area,totrms_abvgrd,garage_cars,garage_qual,garage_cond,saleprice,total_baths,has_bsmt,has_fireplace,has_porch,has_2nd_flr,nabe_Blmngtn,nabe_Blueste,nabe_BrDale,nabe_BrkSide,nabe_ClearCr,nabe_CollgCr,nabe_Crawfor,nabe_Edwards,nabe_Gilbert,nabe_Greens,nabe_IDOTRR,nabe_MeadowV,nabe_Mitchel,nabe_NAmes,nabe_NPkVill,nabe_NWAmes,nabe_NoRidge,nabe_NridgHt,nabe_OldTown,nabe_SWISU,nabe_Sawyer,nabe_SawyerW,nabe_Somerst,nabe_StoneBr,nabe_Timber,nabe_Veenker,house_type_1Fam,house_type_2_fam,house_type_Twnhs,fnd_BrkTil,fnd_CBlock,fnd_PConc,house_age,remod_age,new_house,new_remod
0,109,69.05520046484602,13517,6,289.0,3,725.0,1479,6,2.0,3,3,130500,2.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,34,5,0,1
1,544,43.0,11492,7,132.0,4,913.0,2122,8,2.0,3,3,220000,3.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,13,12,0,0
2,153,68.0,7922,5,0.0,3,1057.0,1057,5,1.0,3,3,109000,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,57,3,0,1
3,318,73.0,9802,5,0.0,4,384.0,1444,7,2.0,3,3,174000,2.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,3,1,1
4,255,82.0,14235,6,0.0,2,676.0,1445,6,2.0,3,3,138500,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,110,17,0,0
5,138,137.0,16492,6,0.0,3,1517.0,1888,6,2.0,3,3,190000,2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,44,8,0,1
6,2827,35.0,3675,6,82.0,4,547.0,1072,5,2.0,3,3,140000,3.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
7,145,69.05520046484602,12160,5,180.0,3,1188.0,1188,6,2.0,3,3,142000,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,51,51,0,0
8,1942,69.05520046484602,15783,5,0.0,3,924.0,924,6,1.0,3,3,112500,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,55,55,0,0
9,1956,70.0,11606,5,192.0,4,1040.0,2080,9,2.0,3,3,135000,2.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,38,38,0,0
10,1044,21.0,1680,6,232.0,3,483.0,987,4,1.0,3,3,85400,1.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,37,37,0,0
11,2752,64.0,7488,7,0.0,4,1208.0,1208,6,2.0,3,3,183600,2.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
12,807,120.0,26400,5,0.0,0,0.0,2016,7,2.0,3,3,131000,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,129,2,0,1
13,1177,24.0,2645,8,456.0,4,960.0,1607,7,2.0,3,3,200000,3.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,9,8,1,1
14,1480,74.0,9627,7,0.0,4,1351.0,1361,6,2.0,3,3,193000,2.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
15,324,93.0,10114,5,0.0,5,1430.0,1430,7,2.0,3,3,173500,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,5,1,1
16,1311,34.0,4571,5,0.0,3,624.0,1344,7,3.0,2,2,98000,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,92,58,0,0
17,770,80.0,8816,5,0.0,3,1121.0,1121,5,2.0,3,3,139000,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,46,46,0,0
18,2063,71.0,8197,6,148.0,3,660.0,1285,7,2.0,3,3,143500,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,30,30,0,0
19,69,72.0,8640,7,0.0,4,756.0,1547,7,2.0,3,3,215200,2.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
20,2062,109.0,8724,5,0.0,4,894.0,894,5,2.0,3,3,129000,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,39,39,0,0
21,351,40.0,5664,8,0.0,4,1501.0,1659,5,2.0,3,3,278000,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,9,9,1,1
22,2393,103.0,12867,8,99.69590931493346,5,1209.0,2253,8,2.0,3,3,344133,2.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
23,12,69.05520046484602,7980,6,0.0,4,1168.0,1187,6,2.0,3,3,185000,3.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18,3,0,1
24,2339,100.0,34650,5,0.0,3,1056.0,1056,5,2.0,3,3,145000,2.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,51,51,0,0
25,624,92.0,10573,6,3.0,3,1453.0,1453,6,2.0,3,3,187500,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,48,48,0,0
26,86,65.0,8450,5,0.0,3,894.0,894,5,1.0,3,3,138500,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,45,1,0,1
27,1534,69.05520046484602,11700,5,0.0,3,942.0,1938,7,1.0,3,3,198000,2.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,71,13,0,0
28,2243,75.0,8250,5,0.0,3,957.0,1991,9,0.0,0,0,119600,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,1,0,1
