id,saleprice
2658,117199.8498269411
2718,158524.22260940413
2414,205815.94622440316
1989,107020.46145411767
625,193184.8616182044
333,72133.54711737888
1327,104042.27453656521
858,145280.20294489802
95,173756.51949750425
1568,180379.93647823605
2482,120832.26230729785
1364,125128.85665685032
2584,143893.55210412788
818,312254.2358888526
2673,149055.7410730953
2089,136541.82607181164
1297,144340.98315104903
790,110636.36137845906
2616,219010.84783565343
720,186321.8546812737
222,151735.4888505224
557,133840.02757765108
1148,150836.8145960813
2766,176641.52427141025
534,186887.8109274618
1452,116189.04736676016
630,115136.58172107898
2648,102931.24725399313
125,153901.9846197942
1904,55605.53386634223
1670,101453.28010525713
756,94688.33535942168
717,237374.18975609052
1032,162437.26511934155
852,214535.01045299665
1731,179864.13158613627
2639,110143.22268969775
2071,98267.32695973924
1267,122111.84234720009
1851,217609.23027919375
567,147658.74741074193
2439,205358.0709993267
1898,150820.0190098106
647,176168.0363430403
2256,200349.94099788554
979,93836.28409557718
1444,220887.46450346283
2485,124605.5192088752
157,125214.15079859293
88,125723.24977564685
2003,91305.8540703294
186,203858.9631970377
1425,241014.66841427883
2695,113632.85884027705
738,104411.56599445056
395,161476.14216704605
1353,175279.37580705932
1878,147202.72791279986
390,156827.44684425308
1456,238504.48860543992
1103,324267.5442124649
1387,115005.6107038394
2070,150478.0052177977
1199,174336.77339761716
2479,165422.11308987858
501,309552.9033474759
2362,90093.5997917589
1718,226698.54927992407
2188,75092.32759761185
1483,133864.44297817902
2557,79531.81758884827
437,367106.37411677575
2224,231915.84993070638
1628,171992.5590755377
397,150013.47376686562
587,193525.23943360013
971,153232.26093210172
2611,144733.50352283567
1887,108986.43161685635
2399,358671.74750995915
2148,208540.61046912393
304,110220.07310006232
1997,117711.13435570901
2817,127768.32191672713
1431,213940.79358372756
427,336651.14759043267
263,126653.95288375794
598,178058.94922957462
2895,260952.86711275968
687,148825.71788314343
1822,131393.3105942927
2191,81367.83749511241
179,126275.87883087284
1009,252194.67040944909
2010,122431.6425283037
1991,147022.42999313786
1411,168226.62193348707
1721,247050.77328137326
1144,191743.62721728085
593,214254.3755440182
575,317316.46667739074
1249,182566.77555781708
1604,125901.83567957455
1064,382436.1354675777
1923,154867.86376157368
1988,120767.70561043278
2325,172102.3028931259
114,193459.8576710553
2700,156931.38920930732
217,130547.44591127033
343,184619.52150361318
386,239503.8520493461
2005,127086.04952457227
2908,144334.6248737953
1814,238737.87157023716
2446,450710.57144454797
208,152905.0500449371
1679,108372.8126963506
822,298309.78289060085
6,175988.91768408235
1781,349443.12264951353
2397,312470.69942454994
2340,322860.4141731325
1618,173905.81880108183
2843,119791.09636550942
1061,368569.3273652424
2786,111934.71386926266
1935,129809.78826441868
1341,116168.73423776595
521,270241.5184146018
2136,144549.6097773301
996,205751.03102549398
227,136898.23719193318
135,171645.0358850069
1167,171935.91842794485
294,235694.28030593612
1776,220593.10380617453
540,184934.58928878262
1717,224566.51331633184
2303,140241.4923506034
116,181645.2765937212
127,128795.6677013557
1371,131015.0797316405
1014,148198.758212362
1507,109100.9472588017
702,137070.18379582418
750,144683.2043891232
261,150097.28913117805
1559,54351.16164893002
577,225604.29472623978
2812,195544.02201999034
2080,144942.1462371814
1368,113388.84021976215
2376,125197.31357606553
659,108810.15272892939
1235,139481.29377708607
332,60952.229999226125
1917,147776.82231636913
2094,242546.02151245833
1460,256110.86768018117
1471,208496.45890844657
1509,101424.47287323774
1922,137368.83174178452
433,441479.9935098485
460,271401.7901936491
1116,262067.41010946708
1137,178406.94217582274
53,165846.923898316
2354,268962.72262519854
1475,193741.9470632536
1761,404907.3654253828
842,142402.56934293543
2739,179006.78521122513
2509,155320.1696192512
1007,191154.98811883113
2610,171156.8395752678
1952,63460.36466926988
2719,150005.437496294
2921,66940.77865292977
1966,135471.51062257972
292,111400.23228607744
1204,187109.7297664201
1829,257589.7367188707
2419,181929.1050492514
391,161824.19959985366
798,104831.05455465392
481,199530.2087714851
193,197168.9500166846
555,113359.20591118773
899,67787.05987764186
2357,183143.98340743105
328,132681.70114108533
1356,129673.48187324715
1154,112943.58892095581
1730,173741.096256425
2249,158794.1573386193
1119,279324.95576617576
2856,131050.37288364161
1394,127209.80143014225
2587,142858.80576948432
61,312250.79648131935
2661,177957.16730188965
2711,127389.61256519957
1147,175492.10767241986
757,124504.66071427932
2623,95496.08413653063
2378,136467.46442629833
1413,143507.25828837891
1722,235895.53037614573
1112,229795.64354461606
1623,207705.8589304525
1201,182866.13052540098
1513,101825.92392370082
957,341360.65933990455
1171,242895.28989438515
1145,190956.9288112866
2726,247742.32030922838
703,154821.2105955534
760,108801.42735543814
1964,135350.81620638032
2512,180369.00492942918
159,136410.8812274097
1281,171784.8317478465
468,172355.09894396766
290,131702.24349834528
665,107059.38041430982
1463,247033.22805043863
1792,238895.3919018939
923,160279.58650326502
500,286502.6864728544
1408,165311.89870770308
331,77330.33740822272
170,138323.4500199304
2192,89104.43684329848
2571,216949.43632766703
2314,179578.84475644265
2647,102521.8951911871
422,410632.6508901809
2457,334577.13373494486
1838,192483.73835290526
2805,232529.68557974874
1645,162953.57233831714
1711,317625.922737546
2825,236827.04053256044
322,287698.5810133665
2103,248421.89306642796
342,111685.57174585838
600,132411.65893781575
488,189413.79118572682
1725,288703.6138186023
2246,253816.95253696508
2847,143642.35075381232
806,217257.93514690694
530,245509.77148055294
963,198502.27211391713
2678,76033.88964480205
171,87944.88780863336
2401,406708.62736140453
805,219021.39202137582
2259,255162.0301574465
1748,187857.56260433307
1361,140511.84174324278
1677,106807.49119152137
1406,148074.23121653273
2322,217959.23550585634
688,153806.79624086217
143,143244.3309306195
804,212097.82705917902
1214,161919.62414647173
2828,126183.54066469935
1999,178983.08320609166
2467,207541.78881557728
2665,159818.60328094664
1538,352935.29753102513
398,118532.22551560286
2822,135086.57797875116
2157,130989.95193592517
1856,217270.3242910881
1269,109405.09197754512
2570,119185.7957322438
2320,226102.10591880832
1517,145080.71265967423
2304,120005.69633197803
